No. Intervals  Estimate            Error
1              0.12306002480578    -0.3435696377874
10             0.46270255579806    -0.003927106795114
100            0.46659035036214    -3.9312231034483e-05
1000           0.46662926946676    -3.9312641714195e-07
10000          0.46662965866191    -3.9312634814159e-09
100000         0.46662966255386    -3.9310721344776e-11
1000000        0.46662966259277    -4.0478731477833e-13
10000000       0.46662966259313    -5.0459636469213e-14
No. Intervals  Estimate            Error
1              0.3189191853393     -0.14771047725387
10             0.46661287297393    -1.678961924384e-05
100            0.46662966093385    -1.6593274532184e-09
1000           0.46662966259301    -1.6603385333269e-13
10000          0.46662966259318    1.1102230246252e-16
100000         0.46662966259317    -3.441691376338e-15
1000000        0.46662966259315    -2.2482016248659e-14
10000000       0.46662966259321    3.4250380309686e-14
